name,parent,value
Origin,,
75+ yo M,Origin,5
25-34 yo M,Origin,26
35-54 yo M,Origin,38
55-74 yo M,Origin,12
25-34 yo F,Origin,10
15-24 yo M,Origin,9
55-74 yo F,Origin,6
15-24 yo F,Origin,8
35-54 yo F,Origin,9
75+ yo F,Origin,1
5-14 yo F,Origin,2
