country,year,age,suicides_no,population,suicides_100k_pop
Suriname,2005,55-74 years,10,49061,20.38278877
Suriname,2005,75+ years,2,10001,19.9980002
Suriname,2006,5-14 years,1,102482,0.975781113
Suriname,2006,15-24 years,30,89712,33.44034243
Suriname,2006,25-34 years,22,77974,28.21453305
Suriname,2006,35-54 years,42,122629,34.24964731
Suriname,2006,55-74 years,15,50053,29.96823367
Suriname,2006,75+ years,2,10443,19.15158479
Suriname,2007,5-14 years,6,102347,5.862409255
Suriname,2007,15-24 years,22,90827,24.22187235
Suriname,2007,25-34 years,30,77767,38.57677421
Suriname,2007,35-54 years,42,126107,33.30505047
Suriname,2007,55-74 years,14,51213,27.33680901
Suriname,2007,75+ years,5,10825,46.18937644
Suriname,2008,5-14 years,4,102001,3.921530181
Suriname,2008,15-24 years,35,91885,38.09109213
Suriname,2008,25-34 years,27,77648,34.77230579
Suriname,2008,35-54 years,56,129579,43.21687928
Suriname,2008,55-74 years,20,52520,38.08073115
Suriname,2008,75+ years,5,11156,44.81893152
Suriname,2009,5-14 years,4,101519,3.940149135
Suriname,2009,15-24 years,27,92922,29.05662814
Suriname,2009,25-34 years,22,77773,28.28745194
Suriname,2009,35-54 years,55,132784,41.42065309
Suriname,2009,55-74 years,18,53988,33.34074239
Suriname,2009,75+ years,5,11462,43.62240447
Suriname,2010,5-14 years,6,100971,5.942300264
Suriname,2010,15-24 years,28,93944,29.80499021
Suriname,2010,25-34 years,26,78223,33.23830587
Suriname,2010,35-54 years,54,135552,39.83711048
Suriname,2010,55-74 years,13,55610,23.37709045
Suriname,2010,75+ years,9,11752,76.58270933
Suriname,2011,5-14 years,2,100484,1.990366626
Suriname,2011,15-24 years,31,94901,32.66561996
Suriname,2011,25-34 years,28,79032,35.42868711
Suriname,2011,35-54 years,48,137794,34.83460818
Suriname,2011,55-74 years,13,57038,22.791823
Suriname,2011,75+ years,5,12272,40.74315515
Suriname,2012,5-14 years,3,100002,2.999940001
Suriname,2012,15-24 years,26,95795,27.1412913
Suriname,2012,25-34 years,30,80163,37.42374911
Suriname,2012,35-54 years,44,139660,31.50508377
Suriname,2012,55-74 years,20,58586,34.13784863
Suriname,2012,75+ years,10,12758,78.38219157
Suriname,2013,5-14 years,4,99553,4.017960282
Suriname,2013,15-24 years,30,96570,31.06554831
Suriname,2013,25-34 years,36,81502,44.1706952
Suriname,2013,35-54 years,47,141161,33.29531528
Suriname,2013,55-74 years,13,60377,21.53137784
Suriname,2013,75+ years,1,13196,7.578053956
Suriname,2014,5-14 years,2,47832,4.181301221
Suriname,2014,15-24 years,17,97153,17.49817298
Suriname,2014,25-34 years,36,82862,43.44572904
Suriname,2014,35-54 years,47,142378,33.01071795
Suriname,2014,55-74 years,18,62617,28.74618714
Suriname,2014,75+ years,6,13535,44.32951607
