name,parent,value
Origin,,
75+ yo M,Origin,5529
25-34 yo M,Origin,41917
35-54 yo M,Origin,71494
55-74 yo M,Origin,29170
25-34 yo F,Origin,40945
15-24 yo M,Origin,49798
55-74 yo F,Origin,33447
15-24 yo F,Origin,47355
35-54 yo F,Origin,70884
75+ yo F,Origin,8006
5-14 yo F,Origin,47832
